CMDLINE /home/vkumar/work/personal/vhere/vhereapp/venv/bin/python3 main.py
MEM 3.687500 1601836855.5304
MEM 25.714844 1601836855.6308
MEM 42.023438 1601836855.7311
MEM 57.601562 1601836855.8315
MEM 65.238281 1601836855.9317
MEM 78.324219 1601836856.0320
MEM 95.148438 1601836856.1323
MEM 96.132812 1601836856.2326
MEM 96.132812 1601836856.3330
MEM 96.132812 1601836856.4333
MEM 96.132812 1601836856.5336
MEM 96.132812 1601836856.6339
MEM 96.132812 1601836856.7342
MEM 96.132812 1601836856.8351
MEM 96.132812 1601836856.9360
MEM 96.132812 1601836857.0364
MEM 96.132812 1601836857.1370
MEM 96.132812 1601836857.2376
MEM 96.132812 1601836857.3386
MEM 96.132812 1601836857.4396
MEM 96.132812 1601836857.5407
MEM 96.132812 1601836857.6416
MEM 96.132812 1601836857.7424
MEM 96.132812 1601836857.8432
MEM 96.132812 1601836857.9442
MEM 96.132812 1601836858.0446
MEM 96.132812 1601836858.1454
MEM 96.132812 1601836858.2462
MEM 96.132812 1601836858.3472
MEM 96.132812 1601836858.4482
MEM 96.132812 1601836858.5488
MEM 96.132812 1601836858.6496
MEM 96.132812 1601836858.7504
MEM 96.132812 1601836858.8513
MEM 96.132812 1601836858.9523
MEM 96.132812 1601836859.0528
MEM 96.132812 1601836859.1536
MEM 96.132812 1601836859.2545
MEM 96.132812 1601836859.3555
MEM 96.132812 1601836859.4565
MEM 96.132812 1601836859.5572
MEM 96.132812 1601836859.6579
MEM 96.132812 1601836859.7589
MEM 96.132812 1601836859.8596
MEM 96.132812 1601836859.9605
MEM 96.132812 1601836860.0612
MEM 96.132812 1601836860.1622
MEM 96.132812 1601836860.2631
MEM 96.132812 1601836860.3638
MEM 96.132812 1601836860.4646
MEM 96.132812 1601836860.5654
MEM 96.132812 1601836860.6662
MEM 96.132812 1601836860.7671
MEM 96.132812 1601836860.8678
MEM 96.132812 1601836860.9686
MEM 96.132812 1601836861.0693
MEM 96.132812 1601836861.1701
MEM 96.132812 1601836861.2710
MEM 96.132812 1601836861.3718
MEM 96.132812 1601836861.4726
MEM 96.132812 1601836861.5735
MEM 96.132812 1601836861.6742
MEM 96.132812 1601836861.7751
MEM 96.132812 1601836861.8760
MEM 96.132812 1601836861.9767
MEM 96.132812 1601836862.0774
MEM 96.132812 1601836862.1781
MEM 96.132812 1601836862.2788
MEM 96.132812 1601836862.3795
MEM 96.132812 1601836862.4803
MEM 96.132812 1601836862.5811
MEM 96.132812 1601836862.6815
MEM 96.132812 1601836862.7824
MEM 96.132812 1601836862.8832
MEM 96.132812 1601836862.9844
MEM 96.132812 1601836863.0853
MEM 96.132812 1601836863.1861
MEM 96.132812 1601836863.2865
MEM 96.132812 1601836863.3870
MEM 96.132812 1601836863.4875
MEM 96.132812 1601836863.5885
MEM 96.132812 1601836863.6893
MEM 96.132812 1601836863.7902
MEM 96.132812 1601836863.8908
MEM 96.132812 1601836863.9915
MEM 96.132812 1601836864.0924
MEM 96.132812 1601836864.1931
MEM 96.132812 1601836864.2939
MEM 96.132812 1601836864.3947
